# of Nodes,Processor,Accelerator,# of Accelerators,Model MLC,Scenario,Host Processor Core Count,tokens_per_second
1,NVIDIA Grace CPU,NVIDIA GH200 Grace Hopper Superchip 96GB,1,gptj-99.9,Offline,72,2695.15
1,NVIDIA Grace CPU,NVIDIA GH200 Grace Hopper Superchip 96GB,1,gptj-99.9,Server,72,2159.58
1,Intel(R) Xeon(R) Platinum 8592+,N/A,0,gptj-99,Offline,64,239.034
1,Intel(R) Xeon(R) Platinum 8592+,N/A,0,gptj-99,Server,64,113.732
1,Intel(R) Xeon(R) Platinum 8458P,NVIDIA L40S,4,gptj-99,Offline,44,3463.19
1,Intel(R) Xeon(R) Platinum 8458P,NVIDIA L40S,4,gptj-99,Server,44,3096.45
1,Intel(R) Xeon(R) Platinum 8458P,NVIDIA L40S,4,gptj-99.9,Offline,44,3463.19
1,Intel(R) Xeon(R) Platinum 8458P,NVIDIA L40S,4,gptj-99.9,Server,44,3096.45
1,NVIDIA Grace CPU,NVIDIA GH200 Grace Hopper Superchip 96GB,1,gptj-99,Offline,72,2803.72
1,NVIDIA Grace CPU,NVIDIA GH200 Grace Hopper Superchip 96GB,1,gptj-99,Server,72,2160.12
1,NVIDIA Grace CPU,NVIDIA GH200 Grace Hopper Superchip 96GB,1,gptj-99.9,Offline,72,2803.72
1,NVIDIA Grace CPU,NVIDIA GH200 Grace Hopper Superchip 96GB,1,gptj-99.9,Server,72,2160.12
