# of Accelerators,# of Nodes,Accelerator,Host Processor Core Count,Model MLC,Processor,Scenario,tokens_per_second
8,1,NVIDIA H200-SXM-141GB,56,llama2-70b-99,Intel(R) Xeon(R) Platinum 8480C,Server,30128.44
8,1,NVIDIA H200-SXM-141GB,56,llama2-70b-99.9,Intel(R) Xeon(R) Platinum 8480C,Offline,31059.3
8,1,NVIDIA H200-SXM-141GB,56,llama2-70b-99.9,Intel(R) Xeon(R) Platinum 8480C,Server,30128.44
8,1,NVIDIA L40S,4,llama2-70b-99,AMD EPYC 9254 24-Core Processor,Offline,948.198
8,1,NVIDIA L40S,4,llama2-70b-99,AMD EPYC 9254 24-Core Processor,Server,592.26
1,1,NVIDIA GH200 Grace Hopper Superchip 96GB,72,gptj-99,NVIDIA Grace CPU,Offline,2695.15
1,1,NVIDIA GH200 Grace Hopper Superchip 96GB,72,gptj-99,NVIDIA Grace CPU,Server,2159.58
1,1,NVIDIA GH200 Grace Hopper Superchip 96GB,72,gptj-99.9,NVIDIA Grace CPU,Offline,2695.15
1,1,NVIDIA GH200 Grace Hopper Superchip 96GB,72,gptj-99.9,NVIDIA Grace CPU,Server,2159.58
0,1,,64,gptj-99,Intel(R) Xeon(R) Platinum 8592+,Offline,239.034
0,1,,64,gptj-99,Intel(R) Xeon(R) Platinum 8592+,Server,113.732
4,1,NVIDIA L40S,44,gptj-99,Intel(R) Xeon(R) Platinum 8458P,Offline,3463.19
4,1,NVIDIA L40S,44,gptj-99,Intel(R) Xeon(R) Platinum 8458P,Server,3096.45
4,1,NVIDIA L40S,44,gptj-99.9,Intel(R) Xeon(R) Platinum 8458P,Offline,3463.19
4,1,NVIDIA L40S,44,gptj-99.9,Intel(R) Xeon(R) Platinum 8458P,Server,3096.45
1,1,NVIDIA GH200 Grace Hopper Superchip 96GB,72,gptj-99,NVIDIA Grace CPU,Offline,2803.72
1,1,NVIDIA GH200 Grace Hopper Superchip 96GB,72,gptj-99,NVIDIA Grace CPU,Server,2160.12
1,1,NVIDIA GH200 Grace Hopper Superchip 96GB,72,gptj-99.9,NVIDIA Grace CPU,Offline,2803.72
1,1,NVIDIA GH200 Grace Hopper Superchip 96GB,72,gptj-99.9,NVIDIA Grace CPU,Server,2160.12
1,1,NVIDIA GH200 Grace Hopper Superchip 96GB,72,llama2-70b-99.9,NVIDIA Grace CPU,Offline,3114.03
